"Date","Price","Open","High","Low","Vol.","Change %"
"09/23/2024","2,883.938","2,875.586","2,893.030","2,870.130","","0.24%"
"09/20/2024","2,876.924","2,835.311","2,880.115","2,833.014","","1.47%"
"09/19/2024","2,835.169","2,803.707","2,838.844","2,796.377","","1.12%"
"09/18/2024","2,803.667","2,819.662","2,846.578","2,791.482","","-0.57%"
"09/17/2024","2,819.695","2,826.718","2,832.061","2,808.011","","-0.25%"
"09/16/2024","2,826.783","2,818.713","2,829.059","2,812.495","","0.51%"
"09/13/2024","2,812.543","2,794.729","2,820.446","2,792.832","","0.63%"
"09/12/2024","2,795.016","2,746.546","2,796.300","2,742.956","","1.76%"
"09/11/2024","2,746.546","2,756.856","2,768.177","2,733.903","","-0.39%"
"09/10/2024","2,757.396","2,748.641","2,757.396","2,735.086","","0.32%"
"09/09/2024","2,748.539","2,731.127","2,749.982","2,716.744","","0.68%"
"09/06/2024","2,730.067","2,750.535","2,762.281","2,715.686","","-0.74%"
"09/05/2024","2,750.535","2,732.606","2,756.610","2,728.733","","0.65%"
"09/04/2024","2,732.802","2,725.720","2,735.404","2,705.486","","0.27%"
"09/03/2024","2,725.432","2,723.173","2,737.713","2,703.309","","0.09%"
"09/02/2024","2,723.063","2,742.224","2,745.197","2,722.411","","-0.75%"
"08/30/2024","2,743.604","2,760.209","2,767.257","2,732.832","","-0.62%"
"08/29/2024","2,760.775","2,753.106","2,770.458","2,744.919","","0.28%"
"08/28/2024","2,753.106","2,763.729","2,786.052","2,729.025","","-0.39%"
"08/27/2024","2,763.765","2,752.484","2,767.780","2,739.480","","0.41%"
"08/26/2024","2,752.475","2,752.449","2,763.653","2,742.394","","0.27%"
"08/23/2024","2,745.148","2,715.991","2,752.088","2,715.081","","1.08%"
"08/22/2024","2,715.861","2,741.133","2,743.342","2,694.450","","-0.92%"
"08/21/2024","2,741.114","2,739.351","2,751.132","2,720.229","","0.06%"
"08/20/2024","2,739.405","2,717.764","2,756.698","2,712.027","","0.79%"
"08/19/2024","2,717.869","2,715.012","2,720.567","2,696.937","","0.04%"
"08/16/2024","2,716.825","2,667.611","2,717.605","2,648.479","","2.01%"
"08/15/2024","2,663.374","2,646.602","2,670.311","2,627.796","","0.63%"
"08/14/2024","2,646.759","2,655.622","2,673.639","2,631.981","","-0.33%"
"08/13/2024","2,655.479","2,664.734","2,670.329","2,648.457","","-0.51%"
"08/12/2024","2,669.155","2,617.449","2,670.243","2,614.258","","1.97%"
"08/09/2024","2,617.555","2,614.497","2,626.095","2,608.100","","0.08%"
"08/08/2024","2,615.474","2,571.036","2,618.265","2,569.758","","1.73%"
"08/07/2024","2,571.006","2,577.235","2,591.727","2,563.481","","-0.25%"
"08/06/2024","2,577.430","2,582.921","2,609.834","2,567.966","","-0.19%"
"08/05/2024","2,582.308","2,610.399","2,630.217","2,538.690","","-0.96%"
"08/02/2024","2,607.468","2,612.028","2,643.334","2,576.539","","-0.06%"
"08/01/2024","2,608.910","2,609.537","2,621.536","2,588.530","","-0.02%"
"07/31/2024","2,609.338","2,565.899","2,611.751","2,560.288","","1.70%"
"07/30/2024","2,565.766","2,530.954","2,566.356","2,526.110","","1.37%"
"07/29/2024","2,530.999","2,545.890","2,548.786","2,518.811","","0.11%"
"07/26/2024","2,528.170","2,517.380","2,534.035","2,511.767","","0.43%"
"07/25/2024","2,517.285","2,534.885","2,542.396","2,497.542","","-0.77%"
"07/24/2024","2,536.932","2,543.052","2,568.503","2,528.389","","-0.26%"
"07/23/2024","2,543.473","2,536.164","2,554.231","2,527.292","","0.27%"
"07/22/2024","2,536.731","2,564.664","2,564.664","2,523.047","","-0.49%"
"07/19/2024","2,549.189","2,596.150","2,596.150","2,543.188","","-1.90%"
"07/18/2024","2,598.467","2,619.671","2,633.594","2,595.697","","-0.81%"
"07/17/2024","2,619.671","2,622.315","2,642.712","2,607.468","","-0.10%"
"07/16/2024","2,622.249","2,571.912","2,624.714","2,568.050","","1.96%"
"07/15/2024","2,571.929","2,562.460","2,587.253","2,554.474","","0.42%"
"07/12/2024","2,561.075","2,561.065","2,570.084","2,539.861","","-0.01%"
"07/11/2024","2,561.231","2,508.433","2,561.389","2,507.332","","2.10%"
"07/10/2024","2,508.663","2,502.865","2,522.444","2,500.432","","0.23%"
"07/09/2024","2,502.785","2,484.709","2,507.429","2,478.229","","0.73%"
"07/08/2024","2,484.670","2,507.077","2,512.079","2,473.004","","-1.06%"
"07/05/2024","2,511.301","2,474.282","2,513.566","2,472.857","","1.54%"
"07/04/2024","2,473.162","2,469.633","2,477.157","2,462.155","","0.17%"
"07/03/2024","2,468.916","2,437.943","2,475.372","2,435.886","","1.22%"
"07/02/2024","2,439.250","2,449.077","2,452.327","2,428.557","","-0.38%"
"07/01/2024","2,448.660","2,448.976","2,456.827","2,437.466","","0.05%"
"06/28/2024","2,447.439","2,461.096","2,472.420","2,439.245","","-0.56%"
"06/27/2024","2,461.165","2,426.895","2,463.854","2,425.310","","1.41%"
"06/26/2024","2,426.977","2,458.265","2,462.579","2,422.542","","-1.27%"
"06/25/2024","2,458.143","2,467.911","2,479.424","2,453.855","","-0.41%"
"06/24/2024","2,468.269","2,447.972","2,472.389","2,446.388","","0.69%"
